CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2023 NATIONALLY AGGREGATED PV,2022 NATIONALLY AGGREGATED PV,2021 NATIONALLY AGGREGATED PV,2020 NATIONALLY AGGREGATED PV
"Phosphinic acid, P-phenyl-, compd. with 1,6-hexanediamine (2:1)",5139-88-8,5139888,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Phosphinic acid, sodium salt (1:1)",7681-53-0,7681530,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","25,000,000 – <40,000,000","10,000,000 – <25,000,000"
"Phosphinicocarboxylates, sodium salts (PROVISIONAL)",183643,183643,Accession Number,"<50,000","<50,000","<50,000","<50,000"
"Phosphinicocarboxylates, sodium salts (PROVISIONAL)",278843,278843,Accession Number,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"Phosphinodithioic acid, P,P-bis(2-methylpropyl)-, sodium salt (1:1)",13360-78-6,13360786,CASRN,"1,000,000 – <5,000,000","250,000 – <550,000","550,000 – <1,000,000","250,000 – <550,000"
Phosphonic acid,13598-36-2,13598362,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","25,000,000 – <40,000,000","10,000,000 – <25,000,000"
"Phosphonic acid, [(hydroxycyclosiloxanediyl) alkanediyl] dialkyl ester, alkali metal salt, reaction products with alkali metal silicate",193590,193590,Accession Number,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","550,000 – <1,000,000","50,000 – <250,000"
"Phosphonic acid, aluminum salt (3:2)",56287-23-1,56287231,CASRN,"60,334","355,598","103,175","77,096"
"Phosphonic acid, ammonium salt (1:2)",22132-71-4,22132714,CASRN,"<50,000","<50,000","50,000 – <250,000","50,000 – <250,000"
"Phosphonic acid, bis(2-ethylhexyl) ester",3658-48-8,3658488,CASRN,"62,920","67,284","80,042","54,040"
"Phosphonic acid, di-9-octadecen-1-yl ester",64051-29-2,64051292,CASRN,"1,000,000 – <5,000,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Phosphonic acid, dibutyl ester",1809-19-4,1809194,CASRN,"250,000 – <550,000","250,000 – <550,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"Phosphonic acid, dibutyl ester, reaction products with 2-(octylthio)ethanol",1041187-44-3,1041187443,CASRN,"100,000 – <250,000","100,000 – <250,000","75,000 – <100,000","100,000 – <250,000"
"Phosphonic acid, didodecyl ester",21302-09-0,21302090,CASRN,"36,794","25,054","42,931","25,310"
"Phosphonic acid, diethyl ester",762-04-9,762049,CASRN,"250,000 – <550,000","50,000 – <250,000",0,"250,000 – <550,000"
"Phosphonic acid, diisotridecyl ester",70955-74-7,70955747,CASRN,"62,000","51,000","86,000","93,000"
"Phosphonic acid, dimethyl ester",868-85-9,868859,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
